47
                        1                   2                   3                   4                   5                   6                   7                   8                   9
  1 |                   {}                 {8}        {6, 7, 8, 9}        {5, 6, 7, 8}           {4, 5, 6}           {3, 4, 5}              {3, 4}           {2, 3, 4}                 {3}
  2 |                  {8}                 {6}           {4, 6, 9}           {3, 4, 8}              {7, 8}     {2, 3, 6, 8, 9}                 {5}     {1, 4, 5, 6, 8}              {3, 6}
  3 |         {6, 7, 8, 9}           {4, 6, 9}        {4, 5, 7, 9}        {2, 3, 4, 9}              {3, 9}     {1, 2, 6, 7, 8}           {1, 3, 6}           {1, 6, 9}  {1, 2, 3, 4, 5, 8}
  4 |         {5, 6, 7, 8}           {3, 4, 8}        {2, 3, 4, 9}     {2, 3, 5, 7, 8}              {1, 4}              {1, 8}           {1, 4, 8}  {1, 2, 4, 6, 7, 8}                 {3}
  5 |            {4, 5, 6}              {7, 8}              {3, 9}              {1, 4}                 {1}           {1, 6, 9}                 {2}              {2, 8}              {3, 6}
  6 |            {3, 4, 5}     {2, 3, 6, 8, 9}     {1, 2, 6, 7, 8}              {1, 8}           {1, 6, 9}           {2, 3, 5}                 {3}        {2, 3, 4, 9}        {2, 5, 8, 9}
  7 |               {3, 4}                 {5}           {1, 3, 6}           {1, 4, 8}                 {2}                 {3}                  {}              {4, 9}                 {8}
  8 |            {2, 3, 4}     {1, 4, 5, 6, 8}           {1, 6, 9}  {1, 2, 4, 6, 7, 8}              {2, 8}        {2, 3, 4, 9}              {4, 9}        {2, 4, 5, 8}           {3, 6, 7}
  9 |                  {3}              {3, 6}  {1, 2, 3, 4, 5, 8}                 {3}              {3, 6}        {2, 5, 8, 9}                 {8}           {3, 6, 7}                 {6}
